t,truth_p,truth_v,measurements
0.0,0.0,0.0,-0.4764978253734603
0.001,0.0,0.3101860889731106,0.9690856155423364
0.002,0.0003101860889731106,3.622445477898243,1.6197487696174975
0.003,0.003932631566871354,1.2245002113080456,-0.45177489936719856
0.004,0.0051571317781794,2.3244972787762106,0.15959563199272625
0.005,0.00748162905695561,0.799331523161037,1.1416040395420017
0.006,0.008280960580116648,2.2782933697218852,-1.7753834226695577
0.007,0.010559253949838534,3.3181251980966113,0.34198057979685437
0.008,0.013877379147935145,3.117029697901714,0.21991447641332784
0.009,0.016994408845836858,4.651650193313101,-1.3281629249062081
0.01,0.02164605903914996,4.278790089921099,-0.8469399891751819
0.011,0.02592484912907106,3.243589634174665,-0.5490537869238905
0.012,0.029168438763245725,3.445246752837592,-0.6833906774523193
0.013,0.03261368551608332,2.5158324966706265,0.0980516250060613
0.014,0.03512951801275394,1.836302836684664,0.727020425473194
0.015,0.036965820849438606,0.13803325634970198,-1.9314455471616627
0.016,0.03710385410578831,-1.5498642684405308,-2.7736810225550763
0.017,0.035553989837347776,-0.0351585628211164,2.8583739286957184
0.018,0.03551883127452666,-0.4459217235025083,1.1443167137749086
0.019,0.03507290955102415,-2.071653458858638,1.2278500686614724
0.02,0.03300125609216551,-2.3381149196264484,-0.30094738845448127
0.021,0.030663141172539064,-1.4308197567369128,-0.2760311625089151
0.022,0.029232321415802152,-1.0740938891213516,-0.158975863115356
0.023,0.0281582275266808,-1.1217219729257488,1.4385705778308402
0.024,0.02703650555375505,-1.7664348256764493,-0.4462693411977525
0.025,0.025270070728078603,-1.8175488112821216,0.32097986020585434
0.026,0.023452521916796483,-2.1356677875820056,-0.7991551510355543
0.027,0.021316854129214476,-1.7985814617941351,0.9584046399824394
0.028,0.01951827266742034,-3.124880586938599,-3.8330112728565875
0.029,0.016393392080481742,-1.5794994937569988,0.9097164919382807
0.03,0.014813892586724744,-1.3489646084386613,-2.8394122097971453
0.031,0.013464927978286082,-1.4157068022345856,-0.7373066926363404
0.032,0.012049221176051497,-1.6580692071819667,-1.2886842216195964
0.033,0.010391151968869531,-0.9430278597467197,-2.3191494965005095
0.034,0.009448124109122812,0.2869840068901952,0.7724334898244848
0.035,0.009735108116013007,1.2579845092057615,0.4744469673820298
0.036,0.010993092625218769,0.04457797796547425,-0.25705490682261434
0.037,0.011037670603184243,1.5523583098101084,-1.1181515619536337
0.038,0.012590028912994352,1.9807696912574988,-1.3278048760330927
0.039,0.014570798604251851,2.895514072894804,1.1491830748190033
0.04,0.017466312677146656,2.8005809043345744,-0.502409809070538
0.041,0.020266893581481232,3.1784252047738577,0.20265863730365813
0.042,0.02344531878625509,4.40761822337357,-0.3064391022997493
0.043,0.02785293700962866,6.005080317380741,-0.2830178068629019
0.044,0.0338580173270094,6.244327374010944,4.2590074922993
0.045,0.04010234470102035,5.976010018231057,-2.1993650495682204
0.046,0.04607835471925141,6.011339725577266,1.2455021095571177
0.047,0.05208969444482868,4.918080555717086,0.7432972099423567
0.048,0.05700777500054577,4.7987884695714,0.025891334320219218
0.049,0.06180656347011717,4.987035782909976,0.33160893191675184
0.05,0.06679359925302715,5.121440686033992,3.115787898275364
0.051,0.07191503993906115,4.96698427789623,1.1556939272444984
0.052,0.07688202421695738,5.1804706821934285,0.2819199229491692
0.053,0.08206249489915081,5.985216951373224,-1.2126622426577414
0.054,0.08804771185052403,5.012455138754866,0.7676983109684046
0.055,0.0930601669892789,3.872199745768694,1.3734557214181604
0.056,0.09693236673504758,4.195527082838996,-0.7680798663658907
0.057,0.10112789381788657,4.029156901720841,-2.0917718763742537
0.058,0.10515705071960742,4.90753865240452,1.479023808687482
0.059,0.11006458937201194,5.15581348010776,1.0801109155947841
0.06,0.1152204028521197,3.841249272121082,-3.17681542802249
0.061,0.11906165212424077,3.9012307514323594,1.9382724177790631
0.062,0.12296288287567314,3.0631417125618285,-0.6388045960376364
0.063,0.12602602458823497,1.7572820136784477,0.5293529179400109
0.064,0.12778330660191342,1.9583284530246416,-0.826526343358432
0.065,0.12974163505493808,2.085452014122836,-1.2478502798722486
0.066,0.1318270870690609,1.4300393952887647,2.017649280208761
0.067,0.13325712646434967,1.0632119741911992,0.09478652541254129
0.068,0.13432033843854088,2.2149021060478398,-0.7528504241955615
0.069,0.1365352405445887,1.4233338065653047,3.9010878084151837
0.07,0.13795857435115402,2.9595481810588504,0.15959544813308466
0.071,0.14091812253221286,3.2607890398905885,-0.3201491858742866
0.072,0.14417891157210344,4.0203928671716715,0.14512730779278912
0.073,0.14819930443927512,4.82148408882838,1.064195432448517
0.074,0.1530207885281035,4.603539398797175,1.671053241315731
0.075,0.15762432792690068,6.594803791045495,-0.4789597502611515
0.076,0.16421913171794617,4.7152399450817715,1.8218347590063286
0.077,0.16893437166302794,4.992856555564826,0.8748942366181076
0.078,0.17392722821859277,4.53716177399012,0.9376252116170282
0.079,0.1784643899925829,3.348664168728694,-0.006189808282046516
0.08,0.1818130541613116,3.053740185732017,-2.1175336348985856
0.081,0.18486679434704362,4.77086896193338,-0.8902097889850382
0.082,0.189637663308977,6.102897414556295,0.21438352812554376
0.083,0.1957405607235333,5.747646560474923,0.8443783247935198
0.084,0.2014882072840082,8.03434924224365,-0.2879697971330415
0.085,0.20952255652625185,9.22867231602375,0.915206770834689
0.086,0.2187512288422756,9.095656936303259,-1.2110866602328714
0.087,0.22784688577857887,10.137365338362574,1.682244876043791
0.088,0.23798425111694144,8.962127666491142,-0.25803582467616765
0.089,0.2469463787834326,7.862387159552249,-2.692916293473884
0.09,0.25480876594298485,9.361197778539477,-0.43461921161928807
0.091,0.26416996372152435,10.057681486837339,-1.14865430369349
0.092,0.2742276452083617,12.5078451898817,-0.8648458160733568
0.093,0.28673549039824336,13.175766485591534,0.25466102080035746
0.094,0.2999112568838349,14.13127319750685,-1.1545139397312456
0.095,0.31404253008134175,11.669891669144745,1.9644307153815181
0.096,0.3257124217504865,12.09705124620957,1.6076002340268323
0.097,0.33780947299669606,10.697552253751217,-0.6537727470935292
0.098,0.3485070252504473,8.639163289684433,0.34775592431921026
0.099,0.35714618854013175,7.566429972229767,1.2964288427881938
0.1,0.36471261851236153,9.127153673846449,-3.239134103064775
0.101,0.37383977218620795,10.738369312357664,-0.7709178405122332
0.102,0.3845781414985656,9.917992962807281,1.5495387861646432
0.103,0.3944961344613729,8.012554351734014,-0.5535550803429478
0.104,0.4025086888131069,9.34476599826392,1.0952412505633877
0.105,0.4118534548113708,9.55290058920434,1.2976397754544478
0.106,0.42140635540057514,10.059804505536688,-0.04707093741257029
0.107,0.4314661599061118,9.957002099079537,3.235245232301788
0.108,0.4414231620051913,9.971747123556613,0.3313862118340715
0.109,0.4513949091287479,10.282431686861111,0.16621941783396627
0.11,0.461677340815609,11.232113818091026,-1.3551537397053877
0.111,0.47290945463370004,11.902108853179406,2.3427640501132254
0.112,0.4848115634868794,11.639268264831891,-0.7452590326591484
0.113,0.49645083175171134,9.558839480614647,0.010626806072658146
0.114,0.506009671232326,9.683557519090778,1.386088542582406
0.115,0.5156932287514168,8.805047180033693,1.4326462185705306
0.116,0.5244982759314505,7.083515190674868,1.0307253774636527
0.117,0.5315817911221253,8.172742876382067,-0.7950782090216942
0.118,0.5397545339985074,8.704411881311636,-1.4514129798475617
0.119,0.548458945879819,5.892012415564523,-3.0028978263223816
0.12,0.5543509582953835,8.024536719510891,0.4733108094101511
0.121,0.5623754950148944,8.651218847234434,-0.13368682586795055
